id,date,user_username,content,content_translation,image_description,extended_text,retweet_count,reply_count,like_count,quote_count,impression_count,topic,negative_score,neutral_score,positive_score,x,y
0,2023-04-09,marcc__7_,La central lechera 🥛 https://t.co/QZ0cz7UtRK,The dairy farm 🥛 https://t.co/QZ0cz7UtRK,,The dairy farm 🥛 https://t.co/QZ0cz7UtRK,0.0,0.0,0.0,0.0,39.0,2,0.023515554144978523,0.882855236530304,0.09362927824258804,4.4651875,11.001385
1,2023-01-21,lavozdeasturias,"La nueva canción de Shakira, al ritmo de la gaita asturiana https://t.co/yESTHtQudC","Shakira's new song, to the rhythm of the Asturian bagpipe https://t.co/yESTHtQudC",,"Shakira's new song, to the rhythm of the Asturian bagpipe https://t.co/yESTHtQudC",0.0,0.0,0.0,0.0,795.0,1,0.0033122319728136063,0.8451195955276489,0.1515681892633438,9.185315,5.9827676
2,2023-02-16,MalditoPingui,"Luego te hablan de la Central Lechera y la Caverna de Madrid…

¿Te imaginas al Marca o al AS sin hablar de este escándalo sin precedentes si hubiera sido el Madrid?

¿Os acordáis de la turra que dieron los antis (incluido Piqué) con los audios de Florentino?

Pues ahora callan… https://t.co/1jimZGt8hw","Then they tell you about the Central Lechera and the Cavern in Madrid...

Can you imagine Marca or AS not talking about this unprecedented scandal if it had been Madrid?

Do you remember the turra that the Antis (including Piqué) gave with Florentino's audios?

Well now they're silent... https://t.co/1jimZGt8hw",,"Then they tell you about the Central Lechera and the Cavern in Madrid...

Can you imagine Marca or AS not talking about this unprecedented scandal if it had been Madrid?

Do you remember the turra that the Antis (including Piqué) gave with Florentino's audios?

Well now they're silent... https://t.co/1jimZGt8hw",1.0,0.0,1.0,0.0,255.0,4,0.37853434681892395,0.6027402281761169,0.018725421279668808,4.1177564,8.937877
3,2023-03-02,JuanakoIceman,"Han robado tanto durante años que son los únicos que llevan semanas avivando el caso Negreira de forma tan enfermiza y obsesiva que ellos mismos se delatan. Son adorables en la central lechera

#barcagate #negreiragate","They have stolen so much for years that they are the only ones who have been stoking the Negreira case for weeks in such a sick and obsessive way that they themselves give themselves away. They're adorable at the dairy farm

#barcagate #negreiragate",,"They have stolen so much for years that they are the only ones who have been stoking the Negreira case for weeks in such a sick and obsessive way that they themselves give themselves away. They're adorable at the dairy farm

#barcagate #negreiragate",0.0,0.0,1.0,0.0,43.0,-1,0.8963819742202759,0.09380463510751724,0.009813305921852589,3.8892987,9.774605
4,2023-03-11,Argueta18Hector,"Si no bombardean el Camp Nou y no fusilan al Presidente del Barcelona me conformo, la central lechera de Madrid es extremista y alevosa.
Estos son los pagos que hizo el Barça a Negreira https://t.co/ezOCl0wxUz vía @sport","If they don't bomb the Camp Nou and they don't shoot the President of Barcelona, I'm satisfied, the dairy farm in Madrid is extremist and malicious.
These are the payments that Barça made to Negreira https://t.co/ezOCl0wxUz via @sport",,"If they don't bomb the Camp Nou and they don't shoot the President of Barcelona, I'm satisfied, the dairy farm in Madrid is extremist and malicious.
These are the payments that Barça made to Negreira https://t.co/ezOCl0wxUz via @sport",0.0,0.0,0.0,0.0,16.0,4,0.716682493686676,0.26770299673080444,0.015614496544003487,3.9791622,9.536392
5,2023-03-12,jcesarcobos,"#LaLigaSantander Ja ja el VAR de Negreira se hace grande en San Mamés, todos buscando los billetes, y la Central Lechera tiritando.","#LaLigaSantander Ha ha the Negreira VAR is getting big in San Mamés, everyone looking for the tickets, and the Central Lechera shivering.",,"#LaLigaSantander Ha ha the Negreira VAR is getting big in San Mamés, everyone looking for the tickets, and the Central Lechera shivering.",0.0,0.0,0.0,0.0,72.0,3,0.27726900577545166,0.5000088214874268,0.22272218763828278,9.896045,8.403157
6,2023-03-13,AguileraBosch,Estoy harto del temita Negreira ya… y de como las cloacas del estado y los medios de comunicación de la central lechera estan dedicando las 24horas del dia a contar cosas que aun no se saben y engañando a la gente para poner a todo el mundo en contra del Barça!,I'm sick of the dreaded Negreira now... and how the state's sewers and the media at the dairy farm are dedicating 24 hours a day to telling things that are not yet known and tricking people into turning everyone against Barça!,,I'm sick of the dreaded Negreira now... and how the state's sewers and the media at the dairy farm are dedicating 24 hours a day to telling things that are not yet known and tricking people into turning everyone against Barça!,0.0,1.0,0.0,0.0,74.0,4,0.9242570996284485,0.07033196091651917,0.005410914309322834,3.9279969,9.700007
7,2023-03-13,CaloArcade,"Que protestemos os do Celta, Valladolid ou Betis polo tema Negreira vale; pero que veña o Madrid con toda a central lechera é infumable.","That we protest the Celta, Valladolid or Betis polo Negreira theme is fine; but that veña or Madrid with the whole milk plant is unsmokable.",,"That we protest the Celta, Valladolid or Betis polo Negreira theme is fine; but that veña or Madrid with the whole milk plant is unsmokable.",0.0,0.0,1.0,0.0,52.0,4,0.6951375603675842,0.29353320598602295,0.011329258792102337,4.18879,9.266693
8,2023-03-14,Argueta18Hector,"La central lechera es especialista en dialéctica conspirativa, DASNIL 90 es una cosa y Negreira es otra. Pero que sinverguenzas.
La Agencia Tributaria concluye que el FC Barcelona usó hasta 7 sociedades para pagar a Negreira según El Confidencial https://t.co/JlWu1jfs9c","La Central Lechera specializes in conspiracy dialectics, DASNIL 90 is one thing and Negreira is another. But what scoundrels.
The Tax Agency concludes that FC Barcelona used up to 7 companies to pay Negreira according to El Confidencial https://t.co/JlWu1jfs9c",,"La Central Lechera specializes in conspiracy dialectics, DASNIL 90 is one thing and Negreira is another. But what scoundrels.
The Tax Agency concludes that FC Barcelona used up to 7 companies to pay Negreira according to El Confidencial https://t.co/JlWu1jfs9c",0.0,0.0,0.0,0.0,31.0,4,0.7708622813224792,0.21589429676532745,0.013243395835161209,4.068986,9.112602
9,2023-03-14,Corelium,"Un expresidente del Madrid defiende al Barça en el 'Caso Negreira' https://t.co/0KVFlXhXgj
El ex del club entre 2006 y 2009, Ramón Calderón, asegura que no notó ninguna irregularidad durante esos años.

Solo los llorones de la Central Lechera insinuan y acusan sin Pruebas. 😏😡","A former president of Madrid defends Barça in the 'Negreira Case' https://t.co/0KVFlXhXgj
The club's former member between 2006 and 2009, Ramón Calderón, says he didn't notice any irregularity during those years.

Only the whiners at the Dairy Plant insinuate and make accusations without proof. 😏😡",,"A former president of Madrid defends Barça in the 'Negreira Case' https://t.co/0KVFlXhXgj
The club's former member between 2006 and 2009, Ramón Calderón, says he didn't notice any irregularity during those years.

Only the whiners at the Dairy Plant insinuate and make accusations without proof. 😏😡",0.0,0.0,0.0,0.0,56.0,4,0.5037447810173035,0.4737597405910492,0.022495506331324577,4.1088996,9.352172
